"song","artist","popularity","release_date","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","liveness","valence","tempo","duration_ms","spotify_url"
"higher love","Kygo",0.5,"2019-06-28","Pop",0.632679738562091,0.667346281789892,0.727272727272727,0.680128617363344,1,0.0105718404613167,0.0159316275595519,0.0860044430339575,0.391369686560756,0.290605351966729,228267,"https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY"
"bad guy (with justin bieber)","Billie Eilish",0.318181818181818,"2019-07-11","Pop",0.602614379084967,0.425904066959974,0,0.504094319399786,1,0.326045170591062,0.261119682445198,0.102930286681477,0.687634177758695,0.508373825493958,194840,"https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT"
"post malone (feat. rani)","Sam Feldt",0.318181818181818,"2019-05-24","Pop",0.498039215686274,0.628715527417105,0.636363636363636,0.821136120042872,1,0.118212397885632,0.079871200621447,0.0902359039458373,0.65650493774152,0.314438547603378,174444,"https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU"
"sixteen","Ellie Goulding",0.227272727272728,"2019-04-12","Pop",0.601307189542484,0.79933469256358,0.727272727272727,0.753612004287245,1,0.135031234983181,0.277700446934507,0.0419972495504073,0.538428510090167,0.332383459594192,201072,"https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd"
"never really over","Katy Perry",0.409090909090909,"2019-05-31","Pop",0.733333333333333,0.88625388990235,0.727272727272727,0.781607717041801,1,0.0439692455550216,0.201014411171456,0.313445467047498,0.370974667239158,0.262872306162743,223523,"https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0"
"all you need to know (feat. calle lehmann)","Gryffin",0,"2019-03-27","Pop",0.397385620915033,0.785384697928962,0,0.788595927116827,1,0.0153772224891879,0.0100040042546242,0.0955252300856871,0.208887934735938,0.542905353367034,238459,"https://open.spotify.com/track/4Gcv5SsxnQWpmOnUI19EJk"
"what i like about you (feat. theresa rex)","Jonas Blue",0.227272727272728,"2019-03-22","Pop",0.328104575163399,0.798261616053225,0.0909090909090909,0.833397642015005,1,0.03171552138395,0.299462700326724,0.107161747593357,0.551309574924861,0.28015907467828,220396,"https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ"
"ruin my life","Zara Larsson",0.136363636363636,"2018-10-18","Pop",0.596078431372549,0.689880888507351,1,0.761329046087889,1,0.0410860163382989,0.438326602924681,0.0816671955992807,0.585659081150708,0.437245319479647,190932,"https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU"
"carry on (from the original motion picture ""pokémon detective pikachu"")","Kygo",0.136363636363636,"2019-04-19","Pop",0.499346405228758,0.696319347569482,0.818181818181818,0.707566988210075,0,0.0665545410860163,0.394802096140247,0.117740399873056,0.247531129240017,0.415561592427149,215316,"https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny"
"the middle","Zedd",0.363636363636364,"2018-01-23","Pop",0.711111111111111,0.644811675072433,0.636363636363636,0.855819935691318,1,0.0255886592984142,0.177179562218075,0.097640960541627,0.426792614856161,0.312016019492249,184732,"https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc"
"don't call me up","Mabel",0.409090909090909,"2019-01-18","Pop",0.607843137254902,0.885180813391995,0.818181818181818,0.864737406216506,1,0.148246035559827,0.306716784790796,0.0630487675870094,0.208887934735938,0.255891784409001,178480,"https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8"
